,id,year,week,inventory_doc,material,designation,type,unit,division,store,supplier,theoritical_quantity,entred_quantity,deviation,deviation_cost,dev,date_catchment,corrected_by,catchment,delete,refecrence_inventory,inventory_number,Tys,company,currency,rate,deviation_cost_euro,week_date_cpt,year_date_cpt
1191,2853748,2022,39,100775819,IS0034096S,M850499025N03,CA,U,2010,2001,,6.00,6.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1192,2853880,2022,39,100775819,IS0034134S,MD50131110720,CA,U,2010,2001,,5.00,5.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1193,2854763,2022,39,100775819,IS0034474S,MS27467T11F35P,CA,U,2010,2001,,4.00,4.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1194,2854767,2022,39,100775819,IS0034475S,MS27467T13F35P,CA,U,2010,2001,,3.00,3.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1195,2854771,2022,39,100775819,IS0034476S,MS27467T13F35S,CA,U,2010,2001,,3.00,3.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1196,2854931,2022,39,100775819,IS0034515S,MS3470A1210P,CA,U,2010,2001,,32.00,32.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1197,2854938,2022,39,100775819,IS0034516S,MS3470A1210PY,CA,U,2010,2001,,13.00,13.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1198,2854963,2022,39,100781654,IS0034520S,MS3476L1419S,CA,U,2010,2001,,31.00,31.00,0.00,0.00,EUR,2022-06-23,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1199,2855002,2022,39,100788918,IS0034530S,MS3533373,CA,U,2010,2001,,0.00,0.00,0.00,0.00,EUR,2022-06-29,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,26,2022
1200,2855041,2022,39,100775819,IS0034539S,NSA937910EA2000,CA,U,2010,2001,,44.00,44.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1201,2855254,2022,39,100775819,IS0034621S,NAS1635067,CA,U,2010,2001,,296.00,296.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1202,2855627,2022,39,100775819,IS0034742S,NFE27411HU020Z2,CA,U,2010,2001,,451.00,451.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1203,2855710,2022,39,100775819,IS0034780S,NSA53074,CA,U,2010,2001,,11.00,11.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1204,2855738,2022,39,100775834,IS0034791S,NSA5516C08BD,CA,U,2010,2001,,3.00,3.00,0.00,0.00,EUR,2022-06-21,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1205,2855744,2022,39,100775835,IS0034793S,NSA5516C11BD,CA,U,2010,2001,,47.00,47.00,0.00,0.00,EUR,2022-06-21,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1206,2855770,2022,39,100775819,IS0034802S,NSA55270302D,CA,U,2010,2001,,17.00,17.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1207,2855785,2022,39,100775819,IS0034809S,NSA55270306D,CA,U,2010,2001,,45.00,45.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1208,2856107,2022,39,100775819,IS0034924S,NSA93580516,CA,M,2010,2001,,144.00,144.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
1209,2856201,2022,39,100775819,IS0034946S,NSA93582909C,CA,U,2010,2001,,2.00,2.00,0.00,0.00,EUR,2022-06-20,L0025830,X,,,,1,LFR1,EUR,1.0,0.0,25,2022
