,id,year,week,inventory_doc,material,designation,type,unit,division,store,supplier,theoritical_quantity,entred_quantity,deviation,deviation_cost,dev,date_catchment,corrected_by,catchment,delete,refecrence_inventory,inventory_number,Tys,company,currency,rate,deviation_cost_euro,week_date_cpt,year_date_cpt,percent_gap,stock_accuracy
147,706655,2022,33,100808828,IS0006307S,ABS05871402,CA,U,2300,2001,,20.00,20.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
148,706687,2022,33,100808828,IS0006312S,ABS063106A,CA,M,2300,2001,,100.00,100.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
149,706701,2022,33,100808828,IS0006314S,ABS063110A,CA,M,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
150,706713,2022,33,100808828,IS0006316S,ABS063114A,CA,M,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
151,706770,2022,33,100808828,IS0006322S,ABS0638A12,CA,U,2300,2001,,90.00,90.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
152,706799,2022,33,100808782,IS0006324S,ABS0638A16,CA,U,2300,2001,,833.00,829.00,-4.00,8.08,EUR,2022-08-15,L0022312,X,,,,1,LFR1,EUR,1.0,8.08,33,2022,-0.4801920768307323,True
153,706868,2022,33,100808828,IS0006327S,ABS0638A22,CA,U,2300,2001,,90.00,90.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
154,706889,2022,33,100808828,IS0006328S,ABS0638A24,CA,U,2300,2001,,471.00,471.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
155,706908,2022,33,100808828,IS0006329S,ABS0638B08,CA,U,2300,2001,,0.00,0.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,100.0,False
156,706954,2022,33,100808828,IS0006331S,ABS0638B12,CA,U,2300,2001,,118.00,118.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
157,706993,2022,33,100808828,IS0006333S,ABS0638B16,CA,U,2300,2001,,114.00,114.00,0.00,0.00,EUR,2022-08-17,L0022312,X,,,,1,LFR1,EUR,1.0,0.0,33,2022,0.0,True
