,id,year,week,purchase_requisition,item_of_requisition,deletion_indicator,purchasing_group,material,division,transferring_division,qte_requested,requisition_date,release_date,valuation_price,base_price,supplier,outline_agreement,principal_agmt_item,purchase_order,purchase_order_item,value
76,158699,2022,41,113738304,10,,MA0,4930465,2400,0,10.0,2021-08-23,2021-10-04,0.0,0.0,F05699,4600002213.0,790,,0,0.0
77,158700,2022,41,113754003,10,,D62,IS0029921H,2020,0,15.0,2021-08-28,2021-06-14,35.0,1.0,,,0,,0,525.0
78,158701,2022,41,113757330,10,,MA0,4930465,2400,0,14.0,2021-08-28,2021-04-02,0.0,0.0,F05699,4600002213.0,790,,0,0.0
79,158702,2022,41,113757331,10,,MA0,4930466,2400,0,18.0,2021-08-28,2021-04-02,0.0,0.0,F05699,4600002213.0,820,,0,0.0
80,158703,2022,41,113757332,10,,MA0,4930466,2400,0,5.0,2021-08-28,2021-07-05,0.0,0.0,F05699,4600002213.0,820,,0,0.0
81,158704,2022,41,113757335,10,,MA0,4930564,2400,0,10.0,2021-08-28,2021-05-20,0.0,0.0,,,0,,0,0.0
82,158705,2022,41,114035210,10,,D51,IS0056411H,2010,0,1.0,2021-09-04,2021-02-19,0.34,1.0,F00338,,0,4501141793.0,20,0.34
83,158706,2022,41,114039557,10,,MA0,4930400,2400,0,7.0,2021-09-04,2021-07-05,0.0,0.0,F05699,4600002213.0,60,,0,0.0
84,158707,2022,41,114039560,10,,MA0,4930482,2400,0,170.0,2021-09-04,2021-04-07,0.0,0.0,FM0136,,0,,0,0.0
85,158708,2022,41,114039561,10,,MA0,4930483,2400,0,200.0,2021-09-04,2021-04-07,0.0,0.0,FM0136,,0,,0,0.0
86,158709,2022,41,114039566,10,,MA0,4930519,2400,0,1.0,2021-09-04,2021-04-06,0.0,0.0,,,0,,0,0.0
87,158710,2022,41,114039567,10,,MA0,4930874,2400,0,3.0,2021-09-04,2021-04-07,0.0,0.0,F05699,4600002213.0,1730,,0,0.0
88,158711,2022,41,114039570,10,,MA0,4930462,2400,0,3.0,2021-09-04,2021-05-20,0.0,0.0,F05699,4600002213.0,750,,0,0.0
89,158713,2022,41,114142929,10,,C68,IS0016026S,2040,0,4.0,2021-09-06,2022-09-28,24.71,1.0,F29480,4600002245.0,50,4501236118.0,10,98.84
90,158714,2022,41,114142939,10,,C68,IS0016027S,2040,0,4.0,2021-09-06,2022-09-28,24.71,1.0,F29480,4600002245.0,60,4501236118.0,20,98.84
91,158716,2022,41,114167106,10,,D50,IS0057475E,2030,0,60.0,2021-09-11,2021-03-19,0.0,0.0,,,0,,0,0.0
92,158717,2022,41,114169300,10,,MA0,4930466,2400,0,4.0,2021-09-11,2021-05-20,0.0,0.0,F05699,4600002213.0,820,,0,0.0
93,158718,2022,41,114169302,10,,MA0,4930489,2400,0,20.0,2021-09-11,2021-04-07,0.0,0.0,FM0058,,0,,0,0.0
94,158719,2022,41,114169303,10,,MA0,4930400,2400,0,14.0,2021-09-11,2021-05-20,0.0,0.0,F05699,4600002213.0,60,,0,0.0
95,158737,2022,41,114227665,10,,MA0,4930465,2400,0,8.0,2021-09-18,2021-05-20,0.0,0.0,F05699,4600002213.0,790,,0,0.0
96,158738,2022,41,114227669,10,,MA0,4930564,2400,0,10.0,2021-09-18,2021-04-06,0.0,0.0,,,0,,0,0.0
97,158749,2022,41,114375496,10,,MA0,4931300,2400,0,5.0,2021-09-27,2021-05-20,0.0,0.0,,,0,,0,0.0
98,158771,2022,41,114404856,10,,MA0,4930465,2400,0,6.0,2021-10-02,2021-07-05,0.0,0.0,F05699,4600002213.0,790,,0,0.0
99,158772,2022,41,114404857,10,,MA0,4930466,2400,0,1.0,2021-10-02,2021-02-02,0.0,0.0,F05699,4600002213.0,820,,0,0.0
100,158773,2022,41,114404859,10,,MA0,4930473,2400,0,1.0,2021-10-02,2021-07-15,0.0,0.0,FM0113,,0,,0,0.0
101,158774,2022,41,114404860,10,,MA0,4930473,2400,0,2.0,2021-10-02,2021-01-20,0.0,0.0,FM0113,,0,,0,0.0
102,158775,2022,41,114404861,10,,MA0,4930473,2400,0,2.0,2021-10-02,2021-02-18,0.0,0.0,FM0113,,0,,0,0.0
103,158776,2022,41,114404862,10,,MA0,4930473,2400,0,5.0,2021-10-02,2021-04-07,0.0,0.0,FM0113,,0,,0,0.0
104,158777,2022,41,114404863,10,,MA0,4930603,2400,0,10.0,2021-10-02,2021-04-06,0.0,0.0,,,0,,0,0.0
105,158778,2022,41,114404864,10,,MA0,4930603,2400,0,23.0,2021-10-02,2021-02-17,0.0,0.0,,,0,,0,0.0
106,158779,2022,41,114404867,10,,MA0,4930235,2400,0,33.0,2021-10-02,2021-05-20,0.0,0.0,F05699,4600002213.0,810,,0,0.0
107,158780,2022,41,114404869,10,,MA0,4930236,2400,0,12.0,2021-10-02,2021-07-15,0.0,0.0,F05699,4600002213.0,830,,0,0.0
108,158781,2022,41,114404870,10,,MA0,4930489,2400,0,4.0,2021-10-02,2021-01-20,0.0,0.0,FM0058,,0,,0,0.0
109,158782,2022,41,114404871,10,,MA0,4930489,2400,0,6.0,2021-10-02,2020-12-21,0.0,0.0,FM0058,,0,,0,0.0
110,158783,2022,41,114404872,10,,MA0,4930489,2400,0,23.0,2021-10-02,2021-05-21,0.0,0.0,FM0058,,0,,0,0.0
111,158784,2022,41,114404874,10,,MA0,4930743,2400,0,5.0,2021-10-02,2021-03-30,0.0,0.0,F05699,4600002213.0,410,,0,0.0
112,158785,2022,41,114404876,10,,MA0,4930346,2400,0,3.0,2021-10-02,2021-03-04,0.0,0.0,F05699,4600002213.0,1360,,0,0.0
113,158786,2022,41,114404877,10,,MA0,4930512,2400,0,3.0,2021-10-02,2021-05-26,0.0,0.0,F05699,4600002213.0,1200,,0,0.0
114,158787,2022,41,114404878,10,,MA0,4930512,2400,0,9.0,2021-10-02,2021-02-08,0.0,0.0,F05699,4600002213.0,1200,,0,0.0
115,158788,2022,41,114404879,10,,MA0,4930512,2400,0,2.0,2021-10-02,2021-03-10,0.0,0.0,F05699,4600002213.0,1200,,0,0.0
116,158789,2022,41,114404880,10,,MA0,4930512,2400,0,4.0,2021-10-02,2021-04-08,0.0,0.0,F05699,4600002213.0,1200,,0,0.0
117,158790,2022,41,114404882,10,,MA0,4930423,2400,0,29.0,2021-10-02,2021-05-20,0.0,0.0,F05699,4600002213.0,330,,0,0.0
118,158791,2022,41,114404887,10,,MA0,4930443,2400,0,1.0,2021-10-02,2021-05-20,0.0,0.0,F05699,4600002213.0,560,,0,0.0
119,158792,2022,41,114404889,10,,MA0,4930564,2400,0,6.0,2021-10-02,2020-11-16,0.0,0.0,,,0,,0,0.0
120,158793,2022,41,114404891,10,,MA0,4930569,2400,0,1.0,2021-10-02,2021-02-26,0.0,0.0,F05699,4600002213.0,1430,,0,0.0
121,158794,2022,41,114404892,10,,MA0,4930459,2400,0,6.0,2021-10-02,2021-03-10,0.0,0.0,F05699,4600002213.0,730,,0,0.0
122,158795,2022,41,114407072,10,,A07,4930316,2500,0,100.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
123,158796,2022,41,114407073,10,,A07,4930443,2500,0,4.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
124,158797,2022,41,114407074,10,,A07,4930509,2500,0,3.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
125,158798,2022,41,114407075,10,,A07,4930512,2500,0,3.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
126,158799,2022,41,114407076,10,,A07,4930530,2500,0,5.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
127,158800,2022,41,114407077,10,,A07,4930531,2500,0,3.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
128,158801,2022,41,114407078,10,,A07,4930536,2500,0,5.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
129,158802,2022,41,114407079,10,,A07,4930544,2500,0,3.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
130,158803,2022,41,114407080,10,,A07,4930545,2500,0,5.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
131,158804,2022,41,114407081,10,,A07,4930546,2500,0,3.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
132,158805,2022,41,114407082,10,,A07,4930547,2500,0,3.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
133,158806,2022,41,114407083,10,,A07,4930548,2500,0,5.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
134,158807,2022,41,114407084,10,,A07,4930549,2500,0,3.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
135,158808,2022,41,114407085,10,,A07,4930550,2500,0,3.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
136,158809,2022,41,114407086,10,,A07,4930553,2500,0,100.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
137,158810,2022,41,114407087,10,,A07,4930557,2500,0,150.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
138,158811,2022,41,114407088,10,,A07,4930569,2500,0,3.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
139,158812,2022,41,114407089,10,,A07,4930570,2500,0,3.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
140,158813,2022,41,114407090,10,,A07,4930581,2500,0,3.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
141,158814,2022,41,114407091,10,,A07,4930607,2500,0,5.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
142,158815,2022,41,114407092,10,,A07,4930775,2500,0,50.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
143,158816,2022,41,114407093,10,,A07,4930808,2500,0,4.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
144,158817,2022,41,114407094,10,,A07,4930810,2500,0,5.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
145,158818,2022,41,114407095,10,,A07,4930811,2500,0,3.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
146,158819,2022,41,114407096,10,,A07,4930812,2500,0,3.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
147,158820,2022,41,114407097,10,,A07,4930813,2500,0,5.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
148,158821,2022,41,114407098,10,,A07,4930815,2500,0,3.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
149,158822,2022,41,114407099,10,,A07,4930853,2500,0,5.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
150,158823,2022,41,114407100,10,,A07,4930933,2500,0,5.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
151,158824,2022,41,114407101,10,,A07,4931023,2500,0,5.0,2021-10-02,2022-10-08,0.0,0.0,,,0,,0,0.0
